Neighborhood,ID,Agriculture,Mining,Utilities,Construction,Manufacturing,Wholesale trade,Retail trade,Transportation,Cultural industry,Finance,Real estate,Professional,Management,Admin &                         support,Education,Health care,Arts,Accomodation,Other services,Public admin
East End-Danforth,62,41.6666666666667,16.2162162162162,24,23.7410071942446,16.2257495590829,17.9856115107914,37.037037037037,22.7138643067847,28.0125195618153,9.45736434108527,16.9230769230769,12.0309951060359,16,23.6607142857143,44.7955390334572,36.0413589364845,31.6326530612245,24.4336569579288,43.7007874015748,33.2432432432432
The Beaches,63,33.3333333333333,37.8378378378378,16,20.3836930455636,10.4056437389771,23.7410071942446,28.7878787878788,15.6342182890855,29.1079812206573,12.6614987080103,26.1538461538462,18.189233278956,18,18.3035714285714,51.4869888475837,32.0531757754801,34.3537414965986,26.537216828479,37.7952755905512,37.2972972972973
Woodbine Corridor,64,16.6666666666667,5.40540540540541,4,14.8681055155875,10.0529100529101,11.1510791366906,19.5286195286195,9.14454277286136,17.6838810641628,5.94315245478036,11.0769230769231,7.99347471451876,4,13.6160714285714,32.1561338289963,18.4638109305761,19.7278911564626,14.2394822006473,24.8031496062992,22.972972972973
Greenwood-Coxwell,65,16.6666666666667,5.40540540540541,14,15.1079136690647,11.6402116402116,12.9496402877698,25.5892255892256,13.5693215339233,20.9702660406886,5.58139534883721,10.7692307692308,9.01305057096248,10,15.4017857142857,28.996282527881,20.2363367799114,19.3877551020408,22.4919093851133,31.1023622047244,25.1351351351351
Danforth,66,16.6666666666667,0,10,9.83213429256595,7.05467372134039,8.99280575539568,15.993265993266,6.19469026548673,8.45070422535211,4.75452196382429,7.69230769230769,6.15823817292007,0,7.58928571428571,21.9330855018587,15.0664697193501,14.9659863945578,15.210355987055,23.2283464566929,18.1081081081081
Playter Estates-Danforth,67,16.6666666666667,0,4,8.63309352517986,4.40917107583774,6.83453237410072,10.4377104377104,5.01474926253687,10.3286384976526,3.97932816537468,5.23076923076923,6.72920065252855,0,8.48214285714286,18.9591078066914,11.6691285081241,16.6666666666667,10.5177993527508,15.3543307086614,15.6756756756757
North Riverdale,68,0,0,18,9.11270983213429,8.81834215167548,12.2302158273381,19.023569023569,7.07964601769912,18.7793427230047,6.30490956072351,9.53846153846154,8.48287112561175,24,8.92857142857143,29.182156133829,22.5997045790251,19.3877551020408,14.2394822006473,25.1968503937008,21.6216216216216
Blake-Jones,69,0,5.40540540540541,14,8.63309352517986,6.34920634920635,8.63309352517986,10.2693602693603,5.30973451327434,7.19874804381847,2.7906976744186,5.23076923076923,4.40456769983687,10,6.25,18.7732342007435,10.4874446085672,10.5442176870748,11.0032362459547,16.9291338582677,10
South Riverdale,70,58.3333333333333,10.8108108108108,28,26.8585131894484,29.2768959435626,41.0071942446043,43.4343434343434,25.9587020648968,39.5931142410016,13.2299741602067,23.3846153846154,21.4110929853181,24,25.2232142857143,44.7955390334572,36.4844903988183,54.421768707483,50.3236245954693,54.3307086614173,40.2702702702703
Cabbagetown-South St. James Town,71,0,0,8,7.67386091127098,7.2310405643739,11.5107913669065,18.1818181818182,12.6843657817109,18.1533646322379,5.89147286821705,10.1538461538462,8.15660685154976,10,12.7232142857143,28.4386617100372,21.4180206794682,15.3061224489796,21.3592233009709,32.6771653543307,21.6216216216216
