Neighborhood,ID,Accomodation,Admin/support,Agriculture,Arts,Construction,Cultural industry,Education,Finance,Health care,Management,Manufacturing,Mining,Other services,Professional,Public admin,Real estate,Retail trade,Transportation,Utilities,Wholesale trade
Victoria Village,43,6.63,6.5,0.12,1.82,6.26,3.22,6.63,9.6,12.04,0.0,6.75,0.12,4.86,8.27,4.01,2.43,13.68,4.26,0.12,2.67
Flemingdon Park,44,10.23,8.64,0.0,1.65,4.21,3.3,5.7,5.97,10.71,0.32,7.46,0.0,5.81,8.0,2.99,2.61,13.11,5.92,0.32,3.04
Parkwoods-Donalda,45,6.31,6.8,0.17,2.31,5.66,3.63,6.88,7.94,11.08,0.43,6.86,0.14,5.17,11.08,3.57,3.4,10.57,3.83,0.34,3.83
Pleasant View,46,6.62,4.69,0.26,1.54,5.34,3.15,8.3,8.1,9.71,0.26,8.68,0.13,4.31,11.83,4.12,3.28,10.42,4.63,0.58,4.05
Don Valley Village,47,6.98,5.63,0.0,1.2,5.21,3.26,6.94,9.04,11.07,0.15,8.59,0.15,4.35,13.39,3.23,3.15,9.75,3.94,0.34,3.64
Hillcrest Village,48,6.11,4.07,0.0,0.99,3.61,3.55,7.16,10.25,12.29,0.13,8.28,0.26,3.15,15.37,3.15,3.61,9.59,4.01,0.46,3.94
Bayview Woods-Steeles,49,5.62,3.44,0.0,1.26,3.86,2.43,10.49,10.32,13.34,0.0,5.62,0.0,3.94,14.77,3.69,4.19,10.15,2.27,0.34,4.28
Newtonbrook East,50,6.67,4.68,0.26,1.6,5.77,2.88,7.31,9.29,9.42,0.26,6.47,0.26,5.06,14.68,3.59,3.27,11.99,2.82,0.58,3.14
Willowdale East,51,5.16,3.6,0.08,1.33,3.0,3.08,7.34,14.88,9.9,0.37,5.03,0.19,3.91,17.87,4.25,4.14,8.86,2.25,0.65,4.12
Bayview Village,52,4.44,4.09,0.09,1.52,3.35,2.92,7.93,11.28,11.19,0.39,4.88,0.17,4.66,16.99,3.31,3.66,11.06,2.79,0.65,4.62
Henry Farm,53,8.26,5.73,0.12,1.02,3.98,4.1,6.03,10.49,8.44,0.24,6.57,0.24,3.32,17.24,2.17,3.44,11.27,3.25,0.6,3.5
O'Connor-Parkview,54,8.46,5.53,0.43,1.95,6.72,4.5,7.86,8.24,9.92,0.22,5.91,0.33,4.61,8.67,4.5,2.76,10.68,4.72,0.49,3.52
Thorncliffe Park,55,8.13,8.69,0.0,1.44,5.32,2.81,5.07,6.57,9.13,0.13,6.57,0.0,4.5,10.26,3.25,3.0,11.88,9.32,0.38,3.56
Leaside-Bennington,56,4.89,3.06,0.28,3.28,3.28,4.45,9.68,13.07,9.84,0.61,3.45,0.33,4.51,19.19,4.56,3.0,7.4,1.61,0.44,3.06
Broadview North,57,10.34,5.56,0.16,2.43,5.32,6.81,9.24,7.99,9.95,0.31,3.52,0.16,4.93,10.1,4.62,2.66,9.71,3.68,0.31,2.19
Old East York,58,6.11,5.31,0.0,1.9,6.51,4.51,9.12,8.62,11.22,0.2,4.01,0.0,5.21,12.12,5.61,2.4,10.32,4.11,0.4,2.3
Danforth East York,59,6.53,4.05,0.0,3.07,5.45,7.12,11.43,7.71,12.14,0.32,4.1,0.11,4.48,11.76,5.02,1.89,9.01,2.64,0.54,2.64
Woodbine-Lumsden,60,4.87,4.65,0.0,3.9,5.74,5.41,9.42,9.2,10.17,0.22,3.9,0.22,4.87,11.15,6.39,1.41,10.71,5.52,0.43,1.84
Taylor-Massey,61,11.05,10.52,0.13,1.85,4.43,4.1,6.42,6.62,10.19,0.33,5.49,0.0,4.5,10.52,2.78,2.51,11.45,4.7,0.46,1.92
East End-Danforth,62,6.43,4.51,0.21,3.96,4.21,7.62,10.26,7.79,10.38,0.34,3.91,0.26,4.72,12.55,5.23,2.34,9.36,3.28,0.51,2.13
The Beaches,63,6.54,3.27,0.16,4.03,3.39,7.42,11.05,9.78,8.66,0.36,2.35,0.56,3.83,17.8,5.51,3.39,6.82,2.11,0.32,2.63
Woodbine Corridor,64,6.21,4.3,0.14,4.09,4.37,7.97,12.2,8.11,8.82,0.14,4.02,0.14,4.44,13.82,5.99,2.54,8.18,2.19,0.14,2.19
Greenwood-Coxwell,65,8.65,4.29,0.12,3.55,3.92,8.34,9.71,6.72,8.53,0.31,4.11,0.12,4.92,13.75,5.79,2.18,9.46,2.86,0.44,2.24
Danforth,66,8.79,3.18,0.19,4.12,3.84,5.05,11.04,8.61,9.54,0.0,3.74,0.0,5.52,14.13,6.27,2.34,8.89,1.96,0.47,2.34
Playter Estates-Danforth,67,7.08,4.14,0.22,5.34,3.92,7.19,11.11,8.39,8.61,0.0,2.72,0.0,4.25,17.97,6.32,1.85,6.75,1.85,0.22,2.07
North Riverdale,68,6.29,2.86,0.0,4.07,2.71,8.57,11.21,8.71,10.93,0.86,3.57,0.0,4.57,14.86,5.71,2.21,8.07,1.71,0.64,2.43
Blake-Jones,69,8.58,3.53,0.0,3.91,4.54,5.8,12.74,6.81,8.95,0.63,4.54,0.25,5.42,13.62,4.67,2.14,7.69,2.27,0.88,3.03
South Riverdale,70,9.59,3.48,0.22,4.93,3.45,7.8,7.43,7.89,7.61,0.37,5.12,0.12,4.25,16.18,4.59,2.34,7.95,2.71,0.43,3.51
Cabbagetown-South St. James Town,71,9.28,4.01,0.0,3.16,2.25,8.15,10.75,8.01,10.19,0.35,2.88,0.0,5.83,14.05,5.62,2.32,7.59,3.02,0.28,2.25
Regent Park,72,14.31,5.96,0.0,4.31,2.39,4.95,6.97,7.16,9.91,0.18,3.67,0.37,4.5,11.19,4.95,1.93,9.82,4.4,0.18,2.84
Moss Park,73,9.12,4.83,0.17,4.29,2.62,6.66,6.0,11.12,7.87,0.29,2.87,0.29,4.04,20.24,3.54,2.71,7.75,3.21,0.58,1.79
North St. James Town,74,13.99,6.51,0.0,2.32,2.46,3.76,7.19,7.09,9.89,0.24,4.53,0.0,6.85,11.58,3.67,2.07,11.63,3.33,0.29,2.6
Church-Yonge Corridor,75,7.74,3.84,0.05,3.41,1.65,6.97,9.27,11.94,9.04,0.4,2.54,0.09,3.58,18.81,5.08,2.42,7.86,2.68,0.52,2.1
Bay Street Corridor,76,5.58,2.09,0.0,2.41,1.47,4.71,13.57,12.91,13.78,0.42,2.55,0.28,2.9,19.54,3.91,2.79,6.59,1.47,0.73,2.3
Waterfront Communities-The Island,77,6.13,3.25,0.04,2.92,1.98,6.34,5.34,19.19,6.71,0.5,2.66,0.37,2.52,24.32,3.67,3.22,5.89,1.71,0.5,2.76
Kensington-Chinatown,78,14.31,3.76,0.25,4.37,2.44,6.6,9.39,7.16,8.58,0.3,3.45,0.1,4.37,14.77,3.6,1.78,10.76,1.93,0.36,1.73
University,79,8.86,3.15,0.47,5.24,4.2,6.99,18.18,6.06,6.76,0.0,2.45,0.23,4.43,15.38,3.38,1.86,7.11,2.33,0.23,2.68
Palmerston-Little Italy,80,10.53,3.24,0.33,5.43,3.35,9.27,12.23,5.38,8.23,0.44,2.85,0.0,3.84,16.46,4.22,2.36,7.35,2.08,0.27,2.14
Trinity-Bellwoods,81,11.56,4.34,0.35,5.96,4.19,7.32,8.13,5.25,8.08,0.15,4.29,0.35,4.59,16.96,3.89,2.27,7.93,2.17,0.2,2.02
Niagara,82,6.99,2.9,0.04,3.82,2.61,8.53,5.57,11.7,7.28,0.58,4.11,0.29,3.12,21.85,3.54,3.0,6.89,2.47,0.47,4.25
Dufferin Grove,83,10.36,5.72,0.13,4.77,6.66,10.29,8.94,5.04,8.54,0.27,5.04,0.0,3.97,11.3,3.43,2.49,7.67,2.76,0.27,2.35
Little Portugal,84,10.7,4.47,0.24,5.42,5.04,9.56,7.99,5.28,6.95,0.43,5.42,0.0,3.81,16.65,2.76,1.95,8.99,2.28,0.19,1.86
South Parkdale,85,15.21,5.93,0.08,4.72,4.56,7.15,4.75,4.72,10.06,0.2,4.79,0.08,4.79,10.26,2.67,2.79,11.0,3.18,0.39,2.67
Roncesvalles,86,10.68,3.18,0.23,5.45,4.66,9.77,10.9,4.09,7.84,0.4,4.49,0.11,5.05,14.25,4.43,1.99,7.04,2.56,0.34,2.56
